CITY_NAME:lat=LATITUDE,lon=LONGITUDE
Chengdu:lat=30.67006874,lon=104.0712738
Wuhan:lat=30.57249832,lon=114.2792206
Al Basra:lat=30.50349045,lon=47.76086426
Hangzhou:lat=30.25262451,lon=120.1650772
Cairo:lat=30.07791138,lon=31.25079727
New Orleans:lat=29.95637894,lon=-90.09868622
Houston:lat=29.77182961,lon=-95.40711212
Lhasa:lat=29.65070343,lon=91.13208771
Chongqing:lat=29.54410362,lon=106.5226898
San Antonio:lat=29.4299221,lon=-98.52457428
Nanchang:lat=28.67123985,lon=115.8894119
New Delhi:lat=28.56872559,lon=77.2167511
Delhi:lat=28.52645874,lon=77.22437286
Changsha:lat=28.19764137,lon=112.968483
Kathmandu:lat=27.71201706,lon=85.31295013
Thimbu:lat=27.44260597,lon=89.66732788
Jaipur:lat=26.90511322,lon=75.80127716
Lucknow:lat=26.84942818,lon=80.91972351
Guiyang:lat=26.57194138,lon=106.7003021
Kanpur:lat=26.45783043,lon=80.31786346
Fuzhou:lat=26.07101631,lon=119.3035202
Miami:lat=25.83213043,lon=-80.2702179
Monterrey:lat=25.67735291,lon=-100.3170853
Patna:lat=25.61389732,lon=85.13534546
Hyderabad:lat=25.38018608,lon=68.36647034
Benares:lat=25.28201103,lon=82.95633698
Doha:lat=25.20364189,lon=51.49723434
Kunming:lat=25.05103302,lon=102.7021255
Taipei:lat=25.0350914,lon=121.5067291
T`ai-chung:lat=24.14364243,lon=120.6702805
Dhaka:lat=23.70991898,lon=90.40714264
Guangzhou:lat=23.09619522,lon=113.2936096
Ahmadabad:lat=23.03979111,lon=72.56686401
Khulna:lat=22.84264755,lon=89.5582428
Calcutta:lat=22.54353714,lon=88.33422089
Tampico:lat=22.24323463,lon=-97.84262848
Mandalay:lat=21.97594452,lon=96.08415222
Mecca:lat=21.42738152,lon=39.81483841
Nagpur:lat=21.1557579,lon=79.08911133
Hanoi:lat=21.03194809,lon=105.8199081
Haiphong:lat=20.86135864,lon=106.6797943
Merida:lat=20.8218689,lon=-89.55286407
Guadalajara:lat=20.67359161,lon=-103.3437958
Bur Sudan:lat=19.61571312,lon=37.21968842
Mexico City:lat=19.42704582,lon=-99.12757111
Puebla de Zaragoza:lat=19.04863167,lon=-98.19294739
Pune:lat=18.53574753,lon=73.85227203
Port-au-Prince:lat=18.52661705,lon=-72.34310913
San Juan:lat=18.40061569,lon=-66.08175659
Kingston:lat=18.01571274,lon=-76.79730225
Hyderabad:lat=17.39454651,lon=78.48503113
Rangoon:lat=16.8722229,lon=96.12489319
Sanaa:lat=15.36144447,lon=44.20950317
Guatemala:lat=14.61800766,lon=-90.52490234
Tegucigalpa:lat=14.09905052,lon=-87.20309448
Bangkok:lat=13.74557114,lon=100.5526657
San Salvador:lat=13.7014122,lon=-89.20023346
Niamey:lat=13.60454369,lon=2.083449841
Madras:lat=13.06150341,lon=80.24782562
Bangalore:lat=12.97475052,lon=77.58773041
